No,Name,Address,Latitude,Longitude
1,Halte FH,Jalan Professor Mt Djokosoetono Pondok Cina+ Beji+ Kota Depok+ Jawa Barat 16424,-6.364641921940596,106.83225832879543
2,Halte MUI,Jalan Professor Mt Djokosoetono Pondok Cina+ Beji+ Kota Depok+ Jawa Barat 16424,-6.36576150517412,106.83204710483551
3,Halte Pocin,Jalan Lingkar Kampus No.9 Pondok Cina+ Beji+ Kota Depok+ Jawa Barat 16424,-6.3682775596595285,106.83179296553135
